id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,category_name
087fGGq27BXXpxKAlbBwNM,Rhythm Is A Dancer,0.273,0.794,225882,0.745,0.000414,9.0,0.143,-11.367,0.0,0.037,124.249,4.0,0.706,32,relax
0CsM8VGDi38kusMv3pxyj1,True,0.459,0.742,329146,0.533,0.148,0.0,0.064,-9.098,1.0,0.0288,97.395,4.0,0.391,73,relax
0DiWol3AO6WpXZgp0goxAV,One More Time,0.0194,0.613,320357,0.697,0.0,2.0,0.332,-8.618,1.0,0.133,122.746,4.0,0.476,80,relax
0LzeivEHO16a8eBQGlpVkE,Love Shack,0.11,0.704,262586,0.828,0.0,5.0,0.747,-7.304,0.0,0.0514,133.496,4.0,0.866,61,relax
0MHXrqn909p0LRTPsNsGEi,Move on Up,0.417,0.538,165789,0.969,0.00154,11.0,0.119,-5.626,0.0,0.0906,138.652,4.0,0.928,73,relax
0TVV2gFROJaB3kIZyCUvIY,Rather Be,0.162,0.799,227833,0.586,2.03e-06,11.0,0.193,-6.735,1.0,0.0377,120.97,4.0,0.549,64,relax
0VGyBqMFAJFlSAikuqMUfa,You Can't Hurry Love,0.0334,0.62,174080,0.937,0.0,7.0,0.104,-4.584,1.0,0.0312,97.705,4.0,0.75,46,relax
0Z9UkcT1pnrmLciUJPcMMS,Gold,0.25,0.724,290720,0.802,0.0016,10.0,0.342,-6.117,0.0,0.0337,143.116,4.0,0.729,66,relax
0Zt9fqRK58Y0onY1VwaKp7,She Drives Me Crazy,0.164,0.796,218906,0.693,1.77e-05,2.0,0.0408,-6.02,1.0,0.0413,108.8,4.0,0.954,0,relax
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,0.00135,0.446,223840,0.764,0.0,10.0,0.099,-5.042,1.0,0.033,172.094,4.0,0.543,83,relax
0iluWxTpC9QOdVPg3PROvm,Hounds Of Love,0.505,0.546,183266,0.748,0.0,5.0,0.16,-13.989,1.0,0.0384,145.582,4.0,0.9,23,relax
0mUyMawtxj1CJ76kn9gIZK,Bad Day,0.448,0.599,233640,0.785,0.00336,3.0,0.151,-4.013,1.0,0.0309,140.046,4.0,0.52,79,relax
0ofHAoxe9vBkTCp2UQIavz,Dreams,0.0644,0.828,257800,0.492,0.00428,0.0,0.128,-9.744,1.0,0.0276,120.151,4.0,0.789,88,relax
0tgVpDi06FyKpA1z0VMD4v,Perfect,0.163,0.599,263400,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,3.0,0.168,91,relax
0vg4WnUWvze6pBOJDTq99k,You're Beautiful,0.633,0.675,209493,0.479,1.76e-05,0.0,0.088,-9.87,0.0,0.0278,81.998,4.0,0.454,79,relax
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,0.559,0.703,242946,0.444,0.0,11.0,0.0973,-9.331,1.0,0.0417,150.96,4.0,0.712,83,relax
1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is,0.193,0.477,304786,0.471,1.76e-06,6.0,0.131,-10.036,1.0,0.0277,81.204,4.0,0.423,83,relax
1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,0.474,0.781,281560,0.445,0.0,2.0,0.184,-6.061,1.0,0.0295,78.998,4.0,0.591,68,relax
1XpYodsD36XN7ygcdF7mJJ,The A Team,0.669,0.642,258373,0.289,0.0,9.0,0.18,-9.918,1.0,0.0367,84.996,4.0,0.407,71,relax
1hQFF33xi8ruavZNyovtUN,"December, 1963",0.0588,0.737,197146,0.495,9.12e-06,1.0,0.0542,-13.489,1.0,0.027,104.409,4.0,0.967,80,relax
1kgdslQYmeTR4thk9whoRw,Tears in Heaven,0.835,0.498,271760,0.242,0.536,9.0,0.133,-12.238,1.0,0.0257,153.744,4.0,0.312,71,relax
1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us,0.41,0.749,438493,0.497,0.0499,10.0,0.0504,-12.609,0.0,0.105,95.818,4.0,0.585,78,relax
1vxw6aYJls2oq3gW0DujAo,Crazy,0.0505,0.855,177933,0.587,0.00714,8.0,0.105,-4.589,1.0,0.0336,111.97,4.0,0.64,81,relax
22sLuJYcvZOSoLLRYev1s5,Material Girl,0.333,0.742,240280,0.883,7.51e-06,0.0,0.0964,-3.419,1.0,0.0329,136.506,4.0,0.978,79,relax
2AX5E86cn9n2dgioZEjirI,Golden Brown,0.143,0.562,206760,0.383,0.124,6.0,0.138,-15.474,1.0,0.0304,93.764,3.0,0.599,73,relax
2DnJjbjNTV9Nd5NOa1KGba,You're so Vain,0.157,0.659,258411,0.678,6.69e-06,0.0,0.0784,-8.18,1.0,0.0313,106.186,4.0,0.647,79,relax
2He3NOyqtLNE3RQPpeDdSb,Groove Is in the Heart,0.0153,0.694,231786,0.881,0.0196,1.0,0.0851,-4.053,0.0,0.0701,121.554,4.0,0.924,74,relax
